Month,AirQualityStation,average_no2,index
2018-06,STA-BETR001,0.212947932618683,49
2018-07,STA-BETR001,0.22188053097345134,49
2018-08,STA-BETR001,0.21813884785819795,49
2018-09,STA-BETR001,0.2500613496932515,49
2018-10,STA-BETR001,0.283429203539823,49
2018-11,STA-BETR001,0.36501526717557253,49
2018-12,STA-BETR001,0.3281489675073746,49
2018-01,STA-BETR002,0.2913368580060423,50
2018-02,STA-BETR002,0.3265033222591362,50
2018-03,STA-BETR002,0.3090402476780186,50
2018-04,STA-BETR002,0.2326046511627907,50
2018-05,STA-BETR002,0.21880681818181816,50
2018-06,STA-BETR002,0.141875,50
2018-07,STA-BETR002,0.16643906020558003,50
2018-08,STA-BETR002,0.12,50
2018-09,STA-BETR002,,50
2018-10,STA-BETR002,,50
2018-11,STA-BETR002,0.5136945811330049,50
2018-12,STA-BETR002,0.3260103244542773,50
2018-01,STA-BETR020,0.2535950413223141,51
2018-02,STA-BETR020,0.3048547400611621,51
2018-03,STA-BETR020,0.2827586206896552,51
2018-04,STA-BETR020,0.2345234708392603,51
2018-05,STA-BETR020,0.22378266850068776,51
2018-06,STA-BETR020,0.1661046511627907,51
2018-07,STA-BETR020,0.1723941605839416,51
2018-08,STA-BETR020,0.17600550964187328,51
2018-09,STA-BETR020,0.23055634807417974,51
2018-10,STA-BETR020,0.2414099037138927,51
2018-11,STA-BETR020,0.3332834757834758,51
2018-12,STA-BETR020,0.31404401646492436,51
2018-01,STA-BETR222,0.2623541963015647,52
2018-02,STA-BETR222,0.32179906542056075,52
2018-03,STA-BETR222,0.2672765957446809,52
2018-04,STA-BETR222,0.22217105261695905,52
2018-05,STA-BETR222,0.19283005617977525,52
2018-06,STA-BETR222,0.14019882179675996,52
2018-07,STA-BETR222,0.1376699716713881,52
2018-08,STA-BETR222,0.17679775280898877,52
2018-09,STA-BETR222,0.2228862973760933,52
2018-10,STA-BETR222,0.2567937853107345,52
2018-11,STA-BETR222,0.3395876288512518,52
2018-12,STA-BETR222,0.2809277620396601,52
2018-01,STA-BETR223,0.2979558010773481,53
2018-02,STA-BETR223,0.37141006092987805,53
2018-03,STA-BETR223,0.30049237170596393,53
2018-04,STA-BETR223,0.25641940085592013,53
2018-05,STA-BETR223,0.2260576923076923,53
2018-06,STA-BETR223,0.18103129445234709,53
2018-07,STA-BETR223,0.17084370677731672,53
2018-08,STA-BETR223,0.1740315934065934,53
2018-09,STA-BETR223,0.2370910384068279,53
2018-10,STA-BETR223,0.3216320885200553,53
2018-11,STA-BETR223,0.3755752840056818,53
2018-12,STA-BETR223,0.3343655171862069,53
2018-01,STA-BETR501,0.28121883656509694,54
2018-02,STA-BETR501,0.34740384610139863,54
2018-03,STA-BETR501,0.293168044077135,54
2018-04,STA-BETR501,0.25010014306151646,54
2018-05,STA-BETR501,0.21302341597796143,54
2018-06,STA-BETR501,0.17136752136752137,54
2018-07,STA-BETR501,0.1667448275862069,54
2018-08,STA-BETR501,0.16763774104683196,54
2018-09,STA-BETR501,0.22917613636363637,54
2018-10,STA-BETR501,0.2664620689655172,54
2018-11,STA-BETR501,0.36049005678977275,54
2018-12,STA-BETR501,0.3556560772513812,54
2018-01,STA-BETR512,0.2554722222222222,55
2018-02,STA-BETR512,0.3351679389312977,55
2018-03,STA-BETR512,0.28899449035812674,55
2018-04,STA-BETR512,0.23442307692307693,55
2018-05,STA-BETR512,0.18445054945054945,55
2018-06,STA-BETR512,0.14281679389312976,55
2018-07,STA-BETR512,0.16678370786516855,55
2018-08,STA-BETR512,0.16836776859504132,55
2018-09,STA-BETR512,0.21704810495626822,55
2018-10,STA-BETR512,0.2620873786407767,55
2018-11,STA-BETR512,0.37130867705547654,55
2018-12,STA-BETR512,0.32829670320054943,55
2018-01,STA-BETR701,0.2679016620498615,56
2018-02,STA-BETR701,0.3152667682926829,56
2018-03,STA-BETR701,0.2960152990264256,56
2018-04,STA-BETR701,0.23714388489208632,56
2018-05,STA-BETR701,0.2335213204951857,56
2018-06,STA-BETR701,0.20768833087149186,56
2018-07,STA-BETR701,0.22326896550344827,56
2018-08,STA-BETR701,0.22262068965517243,56
2018-09,STA-BETR701,0.21411221590909094,56
2018-10,STA-BETR701,0.2344421487603306,56
2018-11,STA-BETR701,0.3217354196301565,56
2018-12,STA-BETR701,0.2833768913342503,56
2018-01,STA-BETR750,0.3401100411141678,57
2018-02,STA-BETR750,0.36692660547400613,57
2018-03,STA-BETR750,0.34723521309491057,57
2018-04,STA-BETR750,0.27460113954415954,57
2018-05,STA-BETR750,0.22437154694751382,57
2018-06,STA-BETR750,0.1702340425531915,57
2018-07,STA-BETR750,0.18631159417391302,57
2018-08,STA-BETR750,0.18443641618497109,57
2018-09,STA-BETR750,0.24279850741791043,57
2018-10,STA-BETR750,0.2312086330647482,57
2018-11,STA-BETR750,0.4125781247869318,57
2018-12,STA-BETR750,0.4020760231871345,57
2018-01,STA-BETR802,0.30353185594182824,58
2018-02,STA-BETR802,0.3545357686453577,58
2018-03,STA-BETR802,0.3489667128987517,58
2018-04,STA-BETR802,0.29705357138392857,58
