Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type,AirQualityStation
Sweden,2024.0,SPO-SE36245_00005_100,SE36245,17.14712,60.67155,10.0,urban,traffic,STA-SE36245
Sweden,2024.0,SPO-SE0005R_00001_100,SE0005R,15.31973,63.8455,380.0,rural,background,STA-SE0005R
Sweden,2024.0,SPO-SE0008R_00001_101,SE0008R,18.1507,56.9224,39.0,rural,background,STA-SE0008R
Sweden,2024.0,SPO-SE0014R_00001_100,SE0014R,11.9142,57.3937,2.0,rural,background,STA-SE0014R
Sweden,2024.0,SPO-SE00186_00001_100,SE00186,18.299,63.053,215.0,rural,background,STA-SE00186
Sweden,2024.0,SPO-SE0035R_00007_100,SE0035R,19.76724,64.24423,271.0,rural-remote,background,STA-SE0035R
Sweden,2024.0,SPO-SE0039R_00007_100,SE0039R,15.47199,59.72815,132.0,rural-remote,background,STA-SE0039R
Sweden,2024.0,SPO-SE0053R_00001_100,SE0053R,20.9398,64.0865,10.0,rural,background,STA-SE0053R
Sweden,2024.0,SPO-SE00601_00001_101,SE00601,16.5065,60.8148,185.0,rural,background,STA-SE00601
Sweden,2024.0,SPO-SE0110A_00007_100,SE0110A,13.2235,55.6487,17.0,suburban,background,STA-SE0110A
Sweden,2024.0,SPO-SE0111A_00007_100,SE0111A,11.9216,57.8634,13.0,suburban,background,STA-SE0111A
Sweden,2024.0,SPO-SE0112A_00007_100,SE0112A,12.403,57.9525,67.0,rural-regional,background,STA-SE0112A
Sweden,2024.0,SPO-SE0116A_00001_100,SE0116A,13.14855,56.04243,187.0,rural-regional,background,STA-SE0116A
Sweden,2024.0,SPO-SE159227_00001_100,SE159227,16.32118,62.28088,420.0,rural-regional,background,STA-SE159227
Sweden,2024.0,SPO-SE159388_00001_100,SE159388,17.50528,60.08583,45.0,rural-regional,background,STA-SE159388
Sweden,2024.0,SPO-SE38793_00001_100,SE38793,21.46728,66.06204,179.0,rural,background,STA-SE38793
Sweden,2024.0,SPO-SE38940_00001_100,SE38940,14.3166,58.7899,128.0,rural,background,STA-SE38940
Sweden,2024.0,SPO-SE0021A_00001_100,SE0021A,11.9946,57.70094,4.8,urban,traffic,STA-SE0021A
Sweden,2024.0,SPO-SE09346_00001_100,SE09346,12.01508,57.65803,20.0,urban,background,STA-SE09346
Sweden,2024.0,SPO-SE32426_00008_100,SE32426,12.01508,57.65803,3.6,urban,traffic,STA-SE32426
Sweden,2024.0,SPO-SE0113A_00005_100,SE0113A,12.94474,57.72079,143.0,urban,traffic,STA-SE0113A
Sweden,2024.0,SPO-SE0102A_00001_100,SE0102A,15.6294,60.6083,130.0,urban,background,STA-SE0102A
