Country,Year,Sampling Point Id,Air Quality Station EoI Code,Longitude,Latitude,Altitude,Air Quality Station Area,Air Quality Station Type,AirQualityStation
Netherlands,2011,SPO-NL00938_00007_100,NL00938,6.6089,53.2465,-1.0,suburban,Background,STA-NL00938
Netherlands,2025,SPO-NL00934_00007_111,NL00934,6.2768,53.3304,1.0,Rural,Background,STA-NL00934
Netherlands,1995,SPO-NL00318_00007_100,NL00318,3.7495,51.2945,5.0,rural,Background,STA-NL00318
Netherlands,2001,SPO-NL00641_00007_100,NL00641,4.9874,52.2015,-1.0,rural,Traffic,STA-NL00641
Netherlands,2000,SPO-NL00133_00007_111,NL00133,5.8818,50.9023,96.0,suburban,Background,STA-NL00133
Netherlands,2009,SPO-NL00538_00007_111,NL00538,5.0505,52.8037,-4.0,rural,Background,STA-NL00538
Netherlands,2021,SPO-NL00722_00007_111,NL00722,6.6054,52.0918,20.0,Rural,Background,STA-NL00722
Netherlands,1997,SPO-NL00230_00007_101,NL00230,5.1485,51.5184,15.0,rural,Background,STA-NL00230
Netherlands,2023,SPO-NL00493_00007_100,NL00493,4.4613,51.9271,2.0,Urban,Traffic,STA-NL00493
Netherlands,2015,SPO-NL00138_00007_100,NL00138,5.9869,50.9003,99.0,Urban,Background,STA-NL00138
Netherlands,2024,SPO-NL00301_00007_101,NL00301,3.9166,51.6347,1.0,Rural,Background,STA-NL00301
Netherlands,1997,SPO-NL00107_00007_100,NL00107,6.0424,51.1192,32.0,rural,Background,STA-NL00107
Netherlands,1994,SPO-NL00639_00007_100,NL00639,5.1205,52.0677,1.0,urban,Traffic,STA-NL00639
Netherlands,2019,SPO-NL00442_00007_100,NL00442,4.7082,51.8007,1.0,Urban,Background,STA-NL00442
Netherlands,2024,SPO-NL00929_00007_100,NL00929,6.9324,52.8757,11.0,Rural,Background,STA-NL00929
Netherlands,2012,SPO-NL00418_00007_120,NL00418,4.4799,51.9142,3.0,urban,Background,STA-NL00418
Netherlands,2012,SPO-NL00014_00007_100,NL00014,4.8662,52.3597,2.0,urban,Background,STA-NL00014
Netherlands,2023,SPO-NL00738_00007_100,NL00738,5.7084,52.1116,22.0,Rural,Background,STA-NL00738
Netherlands,2014,SPO-NL00564_00007_100,NL00564,4.715,52.3275,-4.0,Rural,Background,STA-NL00564
Netherlands,2019,SPO-NL00633_00007_111,NL00633,4.8382,52.1379,-2.0,Rural,Background,STA-NL00633
Netherlands,2000,SPO-NL00636_00007_111,NL00636,5.1245,52.105,1.0,urban,Traffic,STA-NL00636
Netherlands,2000,SPO-NL00444_00007_100,NL00444,4.5108,52.2966,4.0,rural,Background,STA-NL00444
Netherlands,2022,SPO-NL00003_00007_100,NL00003,4.9438,52.3893,4.0,Urban,Background,STA-NL00003
Netherlands,2021,SPO-NL00235_00007_111,NL00235,4.3598,51.4344,21.0,Rural,Background,STA-NL00235
Netherlands,2021,SPO-NL00236_00007_101,NL00236,5.4724,51.4687,20.0,Urban,Traffic,STA-NL00236
Netherlands,2018,SPO-NL00012_00007_100,NL00012,4.8878,52.39,3.0,Urban,Traffic,STA-NL00012
Netherlands,2003,SPO-NL00937_00007_100,NL00937,6.5789,53.2178,2.0,urban,Traffic,STA-NL00937
Netherlands,1992,SPO-NL00918_00007_101,NL00918,5.5735,52.9169,1.0,rural,Background,STA-NL00918
Netherlands,1999,SPO-NL00818_00007_100,NL00818,6.0176,52.6541,1.0,rural,Background,STA-NL00818
Netherlands,2024,SPO-NL00485_00007_100,NL00485,4.3552,51.8674,3.0,Urban,Background,STA-NL00485
Netherlands,2005,SPO-NL00742_00007_100,NL00742,5.8569,51.8382,30.0,urban,Background,STA-NL00742
Netherlands,2024,SPO-NL00446_00007_100,NL00446,4.3594,52.039,0.0,Urban,Background,STA-NL00446
Netherlands,2011,SPO-NL00241_00007_100,NL00241,4.781,51.6031,1.0,suburban,Background,STA-NL00241
